sid,qid,exec_time,memory,score
2250803,7866,0.0,0.0,0
2250803,4627,0.0,0.0,0
2250803,6882,0.0,0.0,0
2250803,7825,0.0,0.0,0
2250804,7866,0.0,0.0,0
2250804,6546,0.0,0.0,0
2250804,4730,0.0,0.0,0
2250804,3775,0.0,0.0,1
2250804,85405,0.0,0.0,0
2250805,4257,0.04,649.5,0
2250805,3983,0.0,0.0,0
2250805,4730,0.0,0.0,0
2250805,6882,0.0,0.0,1
2250805,3981,0.0,0.0,1
2250805,6543,0.0,0.0,1
2250806,85405,0.0,0.0,0
2250806,3786,0.0,0.0,0
2250806,85407,0.0,0.0,1
2250806,4729,0.0,0.0,0
2250806,3772,0.0,0.0,1
2250806,50071,0.02,328.64,1
2250810,4627,0.0,0.0,1
2250810,7212,0.0,0.0,0
2250810,7213,0.0,0.0,0
2250810,6882,0.0,0.0,0
2250810,7214,0.0,0.0,0
2250811,4639,0.0,0.0,1
2250811,4511,0.0,0.0,0
2250811,85405,0.0,0.0,1
2250811,50573,0.01,121.96,1
2250811,6543,0.0,0.0,1
2250811,6882,0.0,0.0,1
2250811,50067,0.01,63.39,1
2250812,4679,0.0,0.0,0
2250812,6885,0.0,0.0,0
2250812,6671,0.0,0.0,0
2250812,7213,0.0,0.0,0
2250812,6887,0.0,0.0,0
2250812,4257,0.03,458.67,0
2250812,6543,0.0,0.0,0
2250813,7866,0.0,0.0,0
2250813,4514,0.0,0.0,0
2250813,4729,0.0,0.0,0
2250813,85404,0.0,0.0,0
2250813,4671,0.04,42.51,0
2250813,50571,0.03,206.54,0
2250813,50573,0.01,106.52,1
2250814,6544,0.0,0.0,0
2250814,4679,0.06,27.5,0
2250814,4256,0.05,340.55,0
2250814,6545,0.0,0.0,1
2250814,3775,0.0,0.0,1
2250814,7016,0.0,0.0,0
2250814,4488,0.0,0.0,0
2250815,6887,0.0,0.0,0
2250815,3981,0.0,0.0,0
2250815,6671,0.0,0.0,0
2250815,4511,0.0,0.0,0
2250815,7212,0.0,0.0,0
2250816,3982,0.0,0.0,0
2250816,7827,0.0,0.0,0
2250816,7213,0.0,0.0,0
2250816,6686,0.0,0.0,0
2250818,7015,0.0,0.0,0
2250818,4257,0.03,130.83,0
2250818,4731,0.0,0.0,0
