sid,qid,exec_time,memory,score
102924,2888,0.05,23.41,0
574998,3427,2.57,1036.52,1
1029142,3497,1.19,858.8,0
576027,2888,0.44,33.73,0
575012,20610,0.0,0.0,0
1027622,8170,0.06,99.09,1
1027623,21496,0.0,0.0,1
1027624,3321,1.31,794.89,1
1027626,56331,0.02,98.54,1
1027628,56463,0.04,96.59,1
1027629,25590,1.4,766.58,0
1027630,34809,0.0,0.0,1
1027631,56427,0.03,98.16,1
1027632,7642,0.0,0.0,1
1027634,56468,0.04,99.54,1
1027635,56429,0.04,98.71,1
130612,22498,0.11,853.67,0
103477,56333,0.04,84.61,1
41014,2888,0.05,23.57,1
575031,56330,0.28,108.34,0
1027636,20610,0.0,0.0,1
1027637,34811,1.65,796.44,1
1027638,56333,0.04,99.4,1
1027643,34810,1.13,748.07,1
1027644,21498,0.0,0.0,1
1027645,56334,0.04,95.82,1
102974,3339,1.12,976.46,1
575038,3471,1.4,1029.57,1
654399,3497,1.86,1024.51,1
102977,3497,1.32,767.17,1
1027646,56468,0.05,96.68,1
1027647,56467,0.06,99.21,1
1027651,56333,0.03,95.17,1
1027652,56430,0.03,100.09,1
1027653,21497,0.0,0.0,1
1027654,56470,0.04,112.92,1
1027655,56331,0.04,96.99,1
1027657,56427,0.12,96.93,0
1027659,35462,2.54,811.17,0
1027660,56463,0.05,131.79,1
1027661,3495,1.48,728.99,1
1027662,3497,1.53,728.38,1
1027663,8188,0.02,99.14,0
1027664,56470,0.06,103.23,1
1027665,35462,4.17,1009.42,1
1027668,1012,0.0,0.0,1
1027669,56430,0.02,96.27,1
1027671,22498,0.07,878.66,1
103005,56325,0.03,93.07,1
103006,3496,1.35,834.69,1
103007,56328,0.03,93.57,1
103008,22498,0.11,976.48,0
1027677,56431,0.03,96.74,1
103010,2889,0.02,22.8,1
1027678,56334,0.03,101.59,0
1027679,3354,1.81,807.73,1
103013,3427,1.2,669.02,0
1027680,21497,0.0,0.0,1
1027681,22499,0.21,806.7,0
1027682,56431,0.03,97.93,1
1027684,22499,0.2,809.92,1
1027687,7642,0.0,0.0,1
1027689,34811,1.51,860.82,0
85614,3354,1.85,707.49,1
1027695,56334,0.04,96.61,1
1027696,56333,0.02,96.09,1
1006194,3478,1.58,1032.65,1
1027698,56463,0.03,97.36,1
