sid,qid,exec_time,memory,score
2250803,3083,0.0,0.0,0
2250804,40346,0.02,47.45,0
2250805,3081,0.0,0.0,1
2250806,3081,0.0,0.0,1
2250810,3070,0.0,0.0,0
2250811,2674,0.0,0.0,0
2250812,2827,0.0,0.0,1
2250813,40358,0.01,306.56,1
2250814,144,0.0,364.16,0
2250815,3081,0.0,0.0,1
2250816,474,0.06,170.92,0
2250818,40358,0.02,2557.88,0
2250819,1215833,0.01,65.48,1
2250820,3083,0.0,0.0,1
2250821,2671,0.0,0.0,0
2250822,940,0.04,465.03,1
2250823,3070,0.0,0.0,0
2250824,3070,0.0,0.0,1
2250825,3070,0.0,0.0,0
2250826,1215831,0.0,124.3,0
2250827,3083,0.0,0.0,0
2250828,8225,0.0,0.0,1
2250829,940,0.03,232.2,1
2250830,3081,0.0,0.0,1
2250831,2826,0.0,0.0,0
2250832,2825,0.0,0.0,1
2250833,40346,0.01,153.9,1
2250834,1215826,0.05,166.56,0
2250835,40346,0.01,162.8,0
2250837,175,0.04,99.9,0
2250838,2826,0.0,0.0,1
2250839,1215827,0.02,3836.97,0
2250840,1215829,0.02,312.16,1
2250841,473,0.03,403.47,0
409691,3070,0.0,0.0,0
2250843,2674,0.0,0.0,0
2250844,2671,0.0,0.0,1
2250845,1215830,0.01,66.83,0
2250846,2672,0.0,0.0,0
2250848,3072,0.0,0.0,0
2250849,1215836,0.02,307.58,0
2250850,3071,0.0,0.0,0
2250856,144,0.02,248.14,1
2250857,1215836,0.07,121.62,0
2250858,2826,0.0,0.0,0
2250860,3081,0.0,0.0,1
2250861,2671,0.0,0.0,1
2250863,2673,0.0,0.0,1
2250865,3081,0.0,0.0,0
575602,175,0.02,46.46,0
1028225,2671,0.0,0.0,1
577679,2674,0.0,0.0,0
577688,941,0.03,94.05,0
653486,2826,0.0,0.0,1
2265327,3081,0.0,0.0,0
575748,593,0.02,58.4,0
575757,2671,0.0,0.0,0
102771,3070,0.0,0.0,0
102772,2671,0.0,0.0,0
1618295,2825,0.0,0.0,1
102776,3071,0.0,0.0,0
575874,3083,0.0,0.0,0
102799,2674,0.0,0.0,0
102805,2673,0.0,0.0,0
2251167,474,0.02,243.52,0
575934,593,0.02,50.76,0
358849,3072,0.0,0.0,0
575946,2823,0.0,0.0,0
575952,2673,0.0,0.0,0
102866,2671,0.0,0.0,0
102867,2827,0.0,0.0,1
102871,3071,0.0,0.0,1
102874,940,0.03,34.92,0
102883,2673,0.0,0.0,0
102884,2825,0.0,0.0,1
575973,473,4.54,2927.4,0
102887,2674,0.0,0.0,0
1618440,175,0.05,126.4,0
2259465,2827,0.0,0.0,0
102924,2827,0.0,0.0,0
408076,175,0.02,17.26,0
102926,2823,0.0,0.0,0
408079,2673,0.0,0.0,1
338449,593,0.0,0.0,0
338451,2673,0.0,0.0,1
338452,2673,0.0,0.0,0
338456,940,0.03,26.73,0
336411,2672,0.0,0.0,0
338469,593,0.02,64.5,0
338471,2824,0.0,0.0,0
338472,3081,0.0,0.0,0
338473,175,0.02,17.3,0
338474,3070,0.0,0.0,0
336427,3083,0.0,0.0,0
338475,2671,0.0,0.0,0
338480,3083,0.0,0.0,0
338481,2824,0.0,0.0,0
408125,2672,0.0,0.0,0
338494,2672,0.0,0.0,0
338495,3070,0.0,0.0,0
338496,2674,0.0,0.0,0
102974,2674,0.0,0.0,0
102977,2826,0.0,0.0,1
338502,2673,0.0,0.0,1
338503,2824,0.0,0.0,0
338504,592,0.02,36.24,0
338505,3081,0.0,0.0,0
338506,2825,0.0,0.0,0
338507,2823,0.0,0.0,0
338508,3072,0.0,0.0,1
338509,2672,0.0,0.0,0
338510,941,0.03,24.69,0
338511,592,0.02,45.36,0
338512,144,0.05,35.44,0
338513,3083,0.0,0.0,1
338514,593,0.02,33.22,1
338515,2674,0.0,0.0,0
338516,940,0.03,31.29,0
338517,2673,0.0,0.0,0
338519,2824,0.0,0.0,1
338524,2674,0.0,0.0,0
103005,2824,0.0,0.0,0
103007,2827,0.0,0.0,0
103008,2673,0.0,0.0,0
338526,2827,0.0,0.0,0
103010,2825,0.0,0.0,0
338527,144,0.02,33.32,0
103013,2671,0.0,0.0,0
338534,2823,0.0,0.0,0
338543,3070,0.0,0.0,0
338544,940,0.03,30.33,0
338546,3070,0.0,0.0,0
103034,175,0.02,12.63,0
338565,2674,0.0,0.0,0
338567,2673,0.0,0.0,0
338569,2825,0.0,0.0,0
338570,2674,0.0,0.0,0
103051,2674,0.0,0.0,0
338571,3070,0.0,0.0,0
103061,2824,0.0,0.0,0
338588,2827,0.0,0.0,0
103080,144,0.02,17.97,0
103082,2823,0.0,0.0,0
103084,2674,0.0,0.0,0
586413,2672,0.0,0.0,0
103086,2673,0.0,0.0,0
103089,2674,0.0,0.0,0
103102,2825,0.0,0.0,1
103122,144,0.02,21.51,1
103159,2825,0.0,0.0,1
338684,2827,0.0,0.0,0
103174,175,0.02,15.82,0
338701,593,0.02,18.8,0
338702,2674,0.0,0.0,0
338761,2826,0.0,0.0,1
1028946,3081,0.0,0.0,0
103252,3070,0.0,0.0,0
103263,2673,0.0,0.0,0
103264,2673,0.0,0.0,0
103265,2674,0.0,0.0,0
103267,3071,0.0,0.0,0
574313,3070,0.0,0.0,0
103279,941,0.03,25.34,0
574320,2825,0.0,0.0,0
103283,2825,0.0,0.0,1
103292,3072,0.0,0.0,0
103293,941,0.0,0.0,0
1028988,2672,0.0,0.0,0
662402,3072,0.0,0.0,0
574357,941,0.03,88.41,0
576407,941,0.03,74.19,1
576408,2827,0.0,0.0,0
576410,2674,0.0,0.0,0
338843,940,0.05,55.35,1
576412,592,0.02,38.82,0
103330,2674,0.0,0.0,0
103332,2827,0.0,0.0,1
103334,2824,0.0,0.0,1
103335,2824,0.0,0.0,1
103347,144,0.02,14.19,1
447465,3071,0.0,0.0,1
1029142,940,0.03,85.62,1
103477,2825,0.0,0.0,1
654399,3083,0.0,0.0,0
1616972,175,0.04,125.4,1
1616974,941,0.05,479.22,1
1616975,2826,0.0,0.0,0
1616976,2673,0.0,0.0,1
1616977,2825,0.0,0.0,1
1616978,2826,0.0,0.0,0
1616979,3070,0.0,0.0,0
1616981,144,0.02,148.96,0
1616982,2826,0.0,0.0,0
1616983,3083,0.0,0.0,1
1616984,2824,0.0,0.0,1
1616985,3083,0.0,0.0,0
1616987,592,0.04,314.64,0
1616988,175,0.04,1187.24,0
336989,2673,0.0,0.0,0
1616989,2824,0.0,0.0,1
