sid,qid,exec_time,memory,score
409691,2840,0.0,0.0,0
1028225,2045,0.07,88.68,1
1028225,5542,0.0,0.0,1
577679,2850,0.26,148.74,0
577688,382,0.0,0.0,0
653486,3511,0.11,89.04,1
2265327,5536,0.0,0.0,1
2265327,2045,0.06,77.51,1
575748,2705,0.0,0.0,0
575757,2012,0.1,82.64,0
102771,2017,0.0,0.0,0
102772,399,0.0,0.0,1
1618295,416,0.0,0.0,1
1618295,2714,0.24,186.4,1
102776,8024,0.4,213.0,0
575874,3288,0.09,73.25,1
102799,3303,0.08,55.91,0
575934,380,0.0,0.0,0
358849,3291,0.09,70.39,1
575946,5504,0.0,0.0,1
575952,2717,0.0,0.0,0
102866,2849,0.0,0.0,0
102867,404,0.0,0.0,1
102871,356,0.0,0.0,0
102874,356,0.0,0.0,0
102883,2048,0.0,0.0,0
102884,2042,0.05,35.25,0
575973,2042,0.1,40.79,0
102887,2044,0.0,0.0,0
1618440,2850,0.22,229.42,0
1618440,5528,0.0,0.0,0
102924,2048,0.0,0.0,0
408076,3291,0.09,80.93,0
408079,2840,0.08,59.74,1
338449,5519,0.0,0.0,0
338451,2852,0.3,239.37,0
338452,360,0.0,0.0,1
338456,2045,0.11,79.08,1
336411,2012,0.07,58.62,1
338469,2044,0.0,0.0,0
338471,25531,1.25,73.62,0
338472,2047,0.08,43.49,1
338473,26519,1.91,88.19,0
338474,5536,0.0,0.0,0
336427,3289,0.09,71.79,0
338475,3379,0.45,265.44,0
338480,416,0.0,0.0,0
338481,3379,0.42,205.92,1
408125,3510,0.3,126.09,0
102974,399,0.0,0.0,1
338494,22454,0.8,43.11,0
338495,2848,0.41,218.79,0
102977,3291,0.07,58.02,0
338496,2851,0.1,80.64,0
338502,25366,1.66,84.38,0
338503,2045,0.08,43.82,1
338504,416,0.0,0.0,0
338505,358,0.0,0.0,0
338506,2044,0.0,0.0,0
338507,2848,0.3,134.19,0
338508,416,0.0,0.0,0
338509,24509,1.35,75.02,0
338510,3291,0.11,71.76,0
338511,25531,1.64,80.18,1
338512,3379,0.41,225.75,0
338513,2048,0.0,0.0,0
338514,3303,0.1,82.04,0
338515,3288,0.1,78.46,0
338516,24509,0.0,0.0,0
338517,2849,0.0,0.0,0
338519,22450,1.78,65.75,1
338524,2848,0.43,244.44,0
103005,416,0.0,0.0,0
338526,2044,0.0,0.0,0
103007,418,0.0,0.0,0
103008,387,0.0,0.0,1
103010,2044,0.0,0.0,0
338527,5504,0.0,0.0,1
103013,2856,0.0,0.0,0
338534,3289,0.09,80.33,1
338543,3288,0.1,80.52,0
338544,3258,0.1,80.32,0
338546,2046,0.0,0.0,0
1006194,2856,0.0,0.0,0
103034,3288,0.07,62.55,1
338565,5519,0.0,0.0,0
338567,3291,0.1,81.87,0
338569,2047,0.09,61.0,1
338570,2048,0.0,0.0,0
103051,2848,0.27,100.65,0
338571,3509,0.0,0.0,0
103061,3303,0.08,35.89,0
338588,2047,0.1,81.38,1
103080,2850,0.2,122.92,1
103082,7986,0.19,66.0,0
103084,404,0.0,0.0,0
586413,3487,0.15,89.93,1
103086,3289,0.08,60.13,0
103089,7997,0.11,33.29,0
103102,399,0.0,0.0,0
103122,356,0.0,0.0,0
103159,2849,0.0,0.0,0
338684,3512,0.3,261.63,0
103174,2840,0.08,31.32,0
338701,22450,1.67,76.2,1
338702,22454,0.76,41.26,0
338761,2047,0.1,56.34,0
1028946,2045,0.06,87.31,1
1028946,24542,4.35,313.42,1
103252,2856,0.0,0.0,0
103263,402,0.0,0.0,0
103264,387,0.0,0.0,0
103265,418,0.0,0.0,0
103267,356,0.0,0.0,1
574313,360,0.0,0.0,1
103279,418,0.0,0.0,0
574320,24509,1.58,55.11,1
103283,419,0.0,0.0,0
103292,2848,0.22,190.83,0
103293,418,0.0,0.0,0
1028988,3521,0.0,0.0,0
662402,3302,0.09,75.95,0
574357,8024,0.39,198.64,0
576407,2717,0.0,0.0,0
576408,24509,1.56,74.74,1
576410,5519,0.0,0.0,0
338843,22454,0.0,0.0,0
576412,2706,0.1,85.06,1
103330,24897,7.01,315.49,1
103332,2848,0.35,191.28,0
103334,2850,0.24,87.32,1
103335,2047,0.08,39.07,1
103347,387,0.0,0.0,1
447465,379,0.0,0.0,0
1029142,3258,0.06,67.71,0
1029142,3287,0.05,81.72,0
103477,2042,0.07,32.98,0
654399,3488,0.21,161.36,1
1616972,2703,0.13,78.88,1
1616972,24505,9.15,283.71,0
1616974,3510,0.2,432.99,1
1616974,2851,0.09,69.56,1
1616975,5519,0.0,0.0,1
1616976,2848,0.38,258.51,1
1616977,3524,0.9,327.63,1
1616977,4911,0.27,169.44,1
1616978,7997,0.12,69.04,0
1616978,3362,0.31,224.25,0
1616979,2717,0.0,0.0,0
1616979,2715,0.49,308.8,1
1616981,5543,0.0,0.0,1
1616981,2017,0.0,0.0,0
1616982,24509,2.61,127.58,1
1616983,8024,0.49,335.84,0
1616983,2852,0.37,245.64,1
1616984,26519,1.0,67.47,1
1616985,3487,0.0,0.0,0
1616985,24505,9.3,544.95,0
1616987,3303,0.05,61.06,1
1616987,2840,0.09,63.85,0
1616988,2851,0.08,72.62,1
1616988,2714,0.22,212.58,0
336989,3511,0.1,73.96,0
1616990,3489,0.43,430.99,1
1616990,3302,0.09,176.29,0
1616991,3291,0.0,0.0,0
1616991,3288,0.12,119.47,0
1616992,2851,0.09,69.55,1
1616992,360,0.0,0.0,1
1616993,2048,0.0,0.0,0
1616994,3303,0.08,71.19,1
1616994,8024,0.5,343.44,1
1616995,3258,0.11,88.22,1
1616995,24509,1.32,84.3,0
1616996,2012,0.05,79.75,0
1616997,3258,0.11,87.21,1
1616997,3302,0.1,79.75,0
1616998,2705,0.35,179.64,1
1616998,379,0.0,0.0,0
1617000,24509,1.63,73.01,1
1617000,2046,0.0,0.0,0
1616999,2848,0.34,231.15,0
1616999,25366,1.79,1219.77,0
1617002,5510,0.0,0.0,0
1617002,382,0.0,0.0,0
1617003,3288,0.1,95.33,0
1617003,4911,0.2,196.96,1
1617004,360,0.0,0.0,1
1617004,5542,0.0,0.0,1
1617005,3512,0.22,377.46,1
1617005,3509,0.0,0.0,0
1617006,357,0.0,0.0,0
1617006,4911,0.29,534.1,1
1617007,5543,0.0,0.0,1
1617007,2848,0.4,258.81,1
1617008,3512,0.18,171.36,0
1617008,2706,0.13,96.78,1
1617009,357,0.0,0.0,0
1617009,416,0.0,0.0,0
1617010,3288,0.1,70.19,1
